HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Object,Input.Overview,Answer.“Activity”,Approve,Reject
3HXK2V1N4KP6SO5BUNKFZHM1ZF3G23,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,34X6J5FLPU80XTVRU60KHW87CC9JQI,A2122A7BZNUWXO,Submitted,Fri Mar 12 04:15:20 PST 2021,Fri Mar 12 04:16:44 PST 2021,Mon Mar 15 05:16:44 PDT 2021,,,,84,0% (0/0),0% (0/0),0% (0/0),,"The story behind the place is that the original “bird trainer” moved to this remote area in the hills of Jamaica in the early 1900's, and fell in love. She would take daily strolls through the hills admiring and feeding the exotic species of birds.
",/bird training,,
3HXK2V1N4KP6SO5BUNKFZHM1ZF3G23,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,3TPWUS5F8ABI9CL7WNI4MHDYATHCW1,A1BYS45FAD0HWD,Submitted,Fri Mar 12 04:14:38 PST 2021,Fri Mar 12 04:14:59 PST 2021,Mon Mar 15 05:14:59 PDT 2021,,,,21,0% (0/0),0% (0/0),0% (0/0),,"The story behind the place is that the original “bird trainer” moved to this remote area in the hills of Jamaica in the early 1900's, and fell in love. She would take daily strolls through the hills admiring and feeding the exotic species of birds.
",bird training,,
3HXK2V1N4KP6SO5BUNKFZHM1ZF3G23,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,3W8CV64QJ39YEOJFP4MDJO23PK1H9P,A3U5D83UGFY23Y,Submitted,Fri Mar 12 04:13:58 PST 2021,Fri Mar 12 04:15:44 PST 2021,Mon Mar 15 05:15:44 PDT 2021,,,,106,0% (0/0),0% (0/0),0% (0/0),,"The story behind the place is that the original “bird trainer” moved to this remote area in the hills of Jamaica in the early 1900's, and fell in love. She would take daily strolls through the hills admiring and feeding the exotic species of birds.
",/bird trainer,,
3R16PJFTS31LXOGHOSOIQOBSQAGK46,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,33OOO72IVIVQHVHD1IDTZX6Z6ZZCTB,A3N5RTXKN4I723,Submitted,Fri Mar 12 04:14:32 PST 2021,Fri Mar 12 04:15:50 PST 2021,Mon Mar 15 05:15:50 PDT 2021,,,,78,0% (0/0),0% (0/0),0% (0/0),,"Combine several activities in a single tour, with all the details arranged ahead of time, during this catamaran package from Punta Cana. Step aboard a double-decker catamaran and cruise out along the coast of Punta Cana, enjoying the views before engaging in activities such as snorkeling, swimming in the natural pool, and learning about stingrays and sharks at a marine park. An open bar and live music complete the experience, providing a party atmosphere.","/snorkeling,swimming",,
3R16PJFTS31LXOGHOSOIQOBSQAGK46,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,3A7Y0R2P2PYK6QW3GKVCB4409FWJXF,A3U5D83UGFY23Y,Submitted,Fri Mar 12 04:15:45 PST 2021,Fri Mar 12 04:16:15 PST 2021,Mon Mar 15 05:16:15 PDT 2021,,,,30,0% (0/0),0% (0/0),0% (0/0),,"Combine several activities in a single tour, with all the details arranged ahead of time, during this catamaran package from Punta Cana. Step aboard a double-decker catamaran and cruise out along the coast of Punta Cana, enjoying the views before engaging in activities such as snorkeling, swimming in the natural pool, and learning about stingrays and sharks at a marine park. An open bar and live music complete the experience, providing a party atmosphere.","/snorkeling, swimming",,
3R16PJFTS31LXOGHOSOIQOBSQAGK46,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,3IXQG4FA2U8ONBGTPCCHXDZ5U7W9B1,AKSLU0C30G3JT,Submitted,Fri Mar 12 04:13:34 PST 2021,Fri Mar 12 04:14:11 PST 2021,Mon Mar 15 05:14:11 PDT 2021,,,,37,0% (0/0),0% (0/0),0% (0/0),,"Combine several activities in a single tour, with all the details arranged ahead of time, during this catamaran package from Punta Cana. Step aboard a double-decker catamaran and cruise out along the coast of Punta Cana, enjoying the views before engaging in activities such as snorkeling, swimming in the natural pool, and learning about stingrays and sharks at a marine park. An open bar and live music complete the experience, providing a party atmosphere.",/snorkeling,,
329E6HTMSWC0FSXDOEJZGJJMCAKK3L,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,3BF51CHDTWKGIUV2P83KQD1AMG7H0D,A3VNQ8SYRKJDC7,Submitted,Fri Mar 12 04:13:35 PST 2021,Fri Mar 12 04:14:25 PST 2021,Mon Mar 15 05:14:25 PDT 2021,,,,50,0% (0/0),0% (0/0),0% (0/0),,"Bask in the warm waters of the pristine Caribbean Sea during this 3.5-hour snorkeling cruise from Saint Kitts, including open bar and lunch. Take a sail upon the turquoise-blue waters near this tropical island, enjoying sublime views of its craggy peaks, beautiful villas and secluded beaches on your way to the southeast peninsula for your snorkel outing. Then hop in for an underwater exploration of the island's diverse marine life. This combination sailing and snorkel cruise also includes round-trip hotel transport from selected hotels and snorkel equipment.","/snorkeling, snorkel outing, sailing",,
329E6HTMSWC0FSXDOEJZGJJMCAKK3L,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,3TESA3PJ32KZDM3K5A6VGFGJ657MM2,A3U5D83UGFY23Y,Submitted,Fri Mar 12 04:16:16 PST 2021,Fri Mar 12 04:16:40 PST 2021,Mon Mar 15 05:16:40 PDT 2021,,,,24,0% (0/0),0% (0/0),0% (0/0),,"Bask in the warm waters of the pristine Caribbean Sea during this 3.5-hour snorkeling cruise from Saint Kitts, including open bar and lunch. Take a sail upon the turquoise-blue waters near this tropical island, enjoying sublime views of its craggy peaks, beautiful villas and secluded beaches on your way to the southeast peninsula for your snorkel outing. Then hop in for an underwater exploration of the island's diverse marine life. This combination sailing and snorkel cruise also includes round-trip hotel transport from selected hotels and snorkel equipment.",/snorkeling,,
329E6HTMSWC0FSXDOEJZGJJMCAKK3L,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,3VAR3R6G1QB8S0MSOPBP314TH0X8OF,AJ43O59MBI55L,Submitted,Fri Mar 12 04:11:09 PST 2021,Fri Mar 12 04:13:50 PST 2021,Mon Mar 15 05:13:50 PDT 2021,,,,161,0% (0/0),0% (0/0),0% (0/0),,"Bask in the warm waters of the pristine Caribbean Sea during this 3.5-hour snorkeling cruise from Saint Kitts, including open bar and lunch. Take a sail upon the turquoise-blue waters near this tropical island, enjoying sublime views of its craggy peaks, beautiful villas and secluded beaches on your way to the southeast peninsula for your snorkel outing. Then hop in for an underwater exploration of the island's diverse marine life. This combination sailing and snorkel cruise also includes round-trip hotel transport from selected hotels and snorkel equipment.",EXPLAINING,,
3LCXHSGDLTG1D9QII79XQWETKTNSE1,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Fri Mar 12 04:10:07 PST 2021,3,BatchId:4364774;OriginalHitTemplateId:928390909;,300,259200,Fri Mar 19 05:10:07 PDT 2021,,,3300DTYQT3RSMD9ZG5PTKGVF74DEQS,AYSZAL0HSUDL9,Submitted,Fri Mar 12 04:13:23 PST 2021,Fri Mar 12 04:14:23 PST 2021,Mon Mar 15 05:14:23 PDT 2021,,,,60,0% (0/0),0% (0/0),0% (0/0),,"This day trip carries you away from the bustle of Kingston into the calm cool atmosphere of the Blue Mountains. Your day starts with a hotel pick-up and continues with a leisurely trip up into the mountains. Stops along the way offer the opportunity to take pictures of the views and historic landmarks. Once at Blue Mountain National Park you will have plenty of time for hiking, bird-watching and relaxing.","hiking, bird-watching, relaxing",,
