0,Object,Overview
1,,"Get a personalized Blue Hole experience on a private tour from Ocho Rios. In the comfort of a private vehicle, travel from your hotel to this natural playground tucked into the Jamaican jungle, where you can swim in the bright blue waters, leap from a rope swing, and relax beneath waterfalls. Along the way, get a new perspective on the history and local culture of Ocho Rios."
3,,"Jet extreme offers one of the finest way to experience this unique island freely jet ski / flyboard / hoverboard . The team offers its professionalism and perfect knowledge of the site to make you live unforgettable moments in an atmosphere and decor dreams. Latest equipment, optimum safety, personalized service, everything is made to offer you a tailor made holiday, tailored to your expectations."
6,,"For anyone looking to party in Punta Cana—for Spring break, birthday celebrations, and bachelor parties—this 3-hour snorkel cruise may fit the bill. Drink rum or beer from the floating bar accompanied by nachos and fresh fruit to keep hydrated. Snorkeling gear is provided so you can make use of swimming around Playa Bibijagua."
8,,"Experience the natural beauty of Jamaica on a full-day tour from Ocho Rios. Cool off at the waterfall pools of the Blue Hole, go horseback riding in the countryside, and view the Caribbean Sea and rain forest. Visit a Jamaican jerk eatery for a taste of traditional dishes, and go shopping on a tour led by a guide who shares live commentary about the region."
14,,"This combination tour includes both Dunn's River Falls and Blue Hole, two popular attractions near Ocho Rios. This family-friendly excursion features hiking to the waterfalls, cliff jumping at the Blue Hole, Tarzan rope swinging, and more. Entrance fees to the falls and Blue Hole are not included in the tour price."
19,,"Combine a Jamaican-style party and night swim in the enchanting Luminous Lagoon on a single tour. During the guided tour of the lagoon, watch the waters around you come alive with during a dip in the mangrove lake filled with glowing microorganisms. Learn about the natural phenomenon through your guide's commentary, then head back to dry land for a reggae and limbo party."
23,,"Explore Martinican sweeties and culture on this food and walking tour in the downtown of the chief town of Fort-de-France. Sample local sweeties and beyond the bites, you’ll also experience the rich culture and architecture that Fort-de-France has to offer. This is a small-group tour, with a maximum of 10 people, ensuring a personalized experience."
25,,"A hike up Jamaica's tallest peak may seem daunting, but with a guide in the lead to ensure your comfort and safety, you can focus on the scenery of the Blue Mountains. Lace up your hiking boots and make your way up the 7,200-foot (2,195-meter) Blue Mountain Peak, a UNESCO World Heritage Site, with a guide providing directions and commentary along the way. Learn about the region's geology, flora, and fauna through guided narrative and take a rest at the top of the peak to enjoy the panoramic views and snap photos."
26,,"Allow one of our skippers to swift you away to some of the best beaches in the US and British Virgin Islands. Enjoy a comfortable and hassle-free experience onboard one of our 35' Private Boat charters. Climb on board one of our comfortable boats and allow our captains to customize the itinerary to you, experiencing premier snorkel and swim locations such as Lovango Cay, Maho Bay, The Baths and so much more. Enjoy your day and allow us to complete your experience. Snorkel Gear, floats, music and full-size cooler on board as well as hotel pick up.

• Visit prime Virgin island beaches onboard your private boat charter from St Thomas or St John.
• Premier Snorkel and swim locations as well as hidden treasures you may otherwise miss.
• Worry-Free beach hopping: skippered powerboat 
• Customizable Itinerary
• Snorkel gear, floats, music, cooler and hotel pickup included.
• Relax and Enjoy 
"
28,,"Freediving is about learning to experience the acquatic world in a different way. Free of any heavy equipment and with only a mask, snorkel and fins you will glide through the water and have special interactions with the marine life.
Most importantly, you will learn to enjoy the water in a very unique way and take your snorkel skills to the next level.
Freediving can change your life forever."
33,,"Travel to the Blue Hole and Secret Falls on this all-day guided tour. Along the scenic drive, make a brief stop at Columbus Park before reaching the Blue Hole and Secret Falls where you can swim in the waters of the natural mineral pool that’s surrounded by a lush rainforest. Plus do some shopping and enjoy lunch at a local restaurant (at your own expense)."
35,,"Cruise around the islands of Turks and Caicos in style! Charter a private boat up to 8 people ($99 for each additional person after 8 - PLEASE CALL IF BOOKING FOR MORE THAN 8) for only your family and personalize a day you'll never forget! We use our group tours, half-day Snorkel and Conch Cruise and Dream Day Getaway, as a foundation for your charter and then customize the trip to the interests of the group.Please use the additional comments section to make any requests you may have!"
37,,"Discover the highlights of St. Lucia by land and sea on this guided all-day tour. First, drive through banana plantations on your way to Soufriere where you'll be able to view the island’s landmark Pitons. Also make stops at the Sulphur Springs, Diamond Waterfalls, and Botanical Gardens. Following lunch, take a boat ride along the coastline. You'll be able to snorkel along the way."
