ID,Title,Overview,Review,url,Experience Type,Location(City),profileusername,RDF Triples Annotation,,
,,,,,,,,Subject,Predicate,Object
D1,Scooter Snorkeling Safari - Without Transportation,"Scooter Snorkeling Safari - 

Without Transportation,""Drive your own sea scooter while exploring incredible world of corals and abundant marine animals on a snorkeling tour of the waters around Galleon Beach and the rock formation known as The Pillars of Hercules. 

Propelled by a handy sea scooter, enjoy a relaxing snorkeling experience as you marvel at the life under the surface.""
Great snorkelling with Damon. Scooters are fun and easy to use. Damon is a very good knowledgeable host ",,https://www.tripadvisor.com/AttractionProductReview-g147242-d14192060-Scooter_Snorkeling_Safari_Without_Transportation-Antigua_Antigua_and_Barbuda.html,,,,D1,rdf:type,Review
,,,,,,,,D1,isOfferedAt,Anguilla
,,,,,,,,Anguilla,rdf:type,City
,,,,,,,,,,
,,,,,,,,Anguilla,hasActivity,Snorkelling
,,,,,,,,,,
D2,City Lime Food Tour: Taste our culture on Antigua's only food tour in the city!,"We are the only tour company on island that offers walking food tours. We give you a chance to become a well-rounded foodie by having a chance to taste and enjoy our culture.

","This tour was a great opportunity to walk around downtown St Johns, learn history about the city and the island and try delicious local cuisine along the way! Kadijah was a wonderful guide and so easy to chat with. We learned a lot from her and tried restaurants that we wouldn’t have known to try on our own. We also got to chat with some local business owners (Kelly at Quin Farara and Eddie at Smoothie Palace were highlights!) who were so informative and interesting! We do food tours often when we travel and this one did not disappoint - thank you Kadijah",https://www.tripadvisor.com/AttractionProductReview-g147242-d18910573-City_Lime_Food_Tour_Taste_our_culture_on_Antigua_s_only_food_tour_in_the_city-Anti.html,,,,D2,rdf:type,Review
,,,,,,,,D2,isOfferedAt,Antigua
,,,,,,,,City Lime Food Tour,rdf:type,FoodTours
,,,,,,,,Smoothie,rdf:type,LocalSpeciality
,,,,,,,,Antigua,hasActivity,FoodTours
,,,,,,,,City Lime Food Tour,hasCuisine,Smoothie
,,,,,,,,Antigua,rdf:type,City
D3,Island Safari and Stingray Fantasy Antigua,"Island Safari and Stingray Fantasy Antigua,""Get up close and personal with the wildlife of Antigua on this 4-hour combination safari tour and Stingray City visit. Start your excursion with a backcountry ride through the lush countryside of Antigua in a 4x4 Land Rover Defender, as you look to observe exotic plants and animals not visible anywhere else on the island. Then complete your wildlife exploration with a trip to Stingray City, where you’ll get to swim and feed some of these fascinating (and gentle) marine animals. Your wildlife adventure also includes a guide, lunch, beverages and round-trip transportation from your hotel.""","""This was such a good trip. Rays are free to come and see you or not, no fences or traps. You get up close and really can spend all the time you want in the water with them. Absolutely awesome experience, best of whole trip to Antigua ",https://www.tripadvisor.com/AttractionProductReview-g147243-d12463223-Island_Safari_and_Stingray_Fantasy_Antigua-St_John_s_Saint_John_Parish_Antigua_Ant.html,,,,D3,rdf:type,Review
,,,,,,,,D3,isOfferedAt,Antigua
,,,,,,,,Antigua,rdf:type,City
,,,,,,,,Antigua,hasActivity,"Feeding, Safari"
,,,,,,,,,,
,,,,,,,,,,
D4,Shore Excursion - Antigua Reef Riders Self-Drive Boat and Snorkeling,"Hop aboard your very own inflatable motorboat and sail out to Cades Reef on this 2.5-hour shore excursion. Zoom across the pristine waters and then gear up for a 45-minute snorkel adventure in Antigua’s National Marine Park to search for local species such as stingrays, parrotfish, surgeon-fish, and colorful coral reefs. Enjoy your time on the water making donuts, figure eights, and much more with a professional instructor.","""We had a fantastic time on the ribs and snorkelling.  The team were experienced. friendly and our guide made sure we got the best out of the day! We visited Antigua as part of a caribbean cruise and booked onto the Reef Rider tour, it was a fantastic excursion. We visited as a family of four (two daughters 18 and 12), the boats are so much fun and both my daughters were able to have a go at driving without any problems",https://www.tripadvisor.com/AttractionProductReview-g147242-d13561794-Shore_Excursion_Antigua_Reef_Riders_Self_Drive_Boat_and_Snorkeling-Antigua_Antigua.html,,,,D4,rdf:type,Review
,,,,,,,,D4,isOfferedAt,Antigua
,,,,,,,,Antigua,rdf:type,City
,,,,,,,,Antigua,hasActivity,"Sailing, Snorkelling"
,,,,,,,,,,
,,,,,,,,,,
D5,GaySail: Gay Nude Sailing Cruise Saint Martin - Saint Barth - Anguilla,"Saint Martin is located about 250 km north from Continental Guadeloupe and belongs to the Northern Archipelago. It is the smallest landmass in the world shared by two independent countries. Because of its French and Dutch sides, an interesting dual culture exists on St. Martin. Sophistication and a relaxed, easygoing style are woven into the fabric of daily life on the island. Caribbean and European food, culture, and cuisine come together on St. Martin like no other place in the island chain. With world class restaurants, casual beach bars, legendary and (sometimes infamous) beaches, live music, and a fascinating colonial history, the island gives you a taste of the delightful charms of this region. We make a great combination with the Anguilla with its beautiful nature, beaches and marine parks and the upmarket, sophisticated island of Saint Barth.",,https://www.tripadvisor.com/AttractionProductReview-g147346-d20352369-GaySail_Gay_Nude_Sailing_Cruise_Saint_Martin_Saint_Barth_Anguilla-St_Martin_St_Maa.html,,,,D5,rdf:type,Review
,,,,,,,,D5,isOfferedAt,Saint Martin
,,,,,,,,Saint Martin,rdf:type,IslandCity
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Antigua,hasActivity,"HistoricalTour,LiveMusic"
D6,Cultural and Historical Tour in Antigua,"We start off our tour with a PhotoOp at the Museum of Antigua, followed by a brief stop at the Cathedral of St John, followed by a 20 minute stop at Our Home and Museum an Antiguan Experience, followed by 15 minute stop at a pineapple farm. We finish our tour with a stop at the beach where lunch and entertainment is included.",Jacqueline led us on a wonderful tour of her island. She is so engaging and full of energy. I highly recommend her tour.,https://www.tripadvisor.com/AttractionProductReview-g1184698-d17799917-Cultural_and_Historical_Tour_in_Antigua-Saint_Philips_Saint_Philip_Parish_Antigua.html,,,,D6,rdf:type,Review
,,,,,,,,D6,isOfferedAt,Antigua
,,,,,,,,Antigua,rdf:type,City
,,,,,,,,VisitPinappleFarm,rdf:type,Sightseeing
,,,,,,,,,,
,,,,,,,,Antigua,hasActivity,"CulturalTour,HistoricalTour,Museum,VisitPinappleFarm"
D7,The Excellence Power Catamarán,"Spend a full day exploring the beautiful Caribbean Sea on this tour from St. John’s. Hop aboard a luxury catamaran and visit key landmarks like the Pillars of Hercules, Jumby Bay, Great Bird Island, and Devil’s Bridge. Swim and snorkel around the pristine waters of Green Island before enjoying a delicious lunch and open bar onboard. Soak up the Caribbean sun and admire the coastal views throughout the day.",,https://www.tripadvisor.com/AttractionProductReview-g147244-d13950251-The_Excellence_Power_Catamaran-English_Harbour_Saint_Paul_Parish_Antigua_Antigua_a.html,,,,D7,rdf:type,Review
,,,,,,,,D7,isOfferedAt,Antigua
,,,,,,,,OpenBar,rdf:type,Bar
,,,,,,,,OpenBar,isOfferedAt,Antigua
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Antigua,hasActivity,"Swim,Snorkel,OpenBar"
