HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Object,Input.Overview,Answer.“Activity”,Approve,Reject
3LB1BGHFL260YEKO78QH742V4NRTYP,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3H8DHMCCWAL1J4X475UCIC1L8GQKD7,A24JKHC4HTY6CD,Submitted,Thu Mar 11 05:00:34 PST 2021,Thu Mar 11 05:01:24 PST 2021,Sun Mar 14 06:01:24 PDT 2021,,,,50,0% (0/0),0% (0/0),0% (0/0),swim,"Get a personalized Blue Hole experience on a private tour from Ocho Rios. In the comfort of a private vehicle, travel from your hotel to this natural playground tucked into the Jamaican jungle, where you can swim in the bright blue waters, leap from a rope swing, and relax beneath waterfalls. Along the way, get a new perspective on the history and local culture of Ocho Rios.",swim,,
3LB1BGHFL260YEKO78QH742V4NRTYP,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3QHK8ZVMINSJODH2E9F72MQ0UVJLB4,A3OVE49GVEJT8B,Submitted,Thu Mar 11 05:03:50 PST 2021,Thu Mar 11 05:05:56 PST 2021,Sun Mar 14 06:05:56 PDT 2021,,,,126,0% (0/0),0% (0/0),0% (0/0),swim,"Get a personalized Blue Hole experience on a private tour from Ocho Rios. In the comfort of a private vehicle, travel from your hotel to this natural playground tucked into the Jamaican jungle, where you can swim in the bright blue waters, leap from a rope swing, and relax beneath waterfalls. Along the way, get a new perspective on the history and local culture of Ocho Rios.",swimming,,
3LB1BGHFL260YEKO78QH742V4NRTYP,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3MRNMEIQW6GC3AFMS56DXCE0XGULDA,A4D99Y82KOLC8,Submitted,Thu Mar 11 04:54:58 PST 2021,Thu Mar 11 04:57:02 PST 2021,Sun Mar 14 05:57:02 PDT 2021,,,,124,0% (0/0),0% (0/0),0% (0/0),swim,"Get a personalized Blue Hole experience on a private tour from Ocho Rios. In the comfort of a private vehicle, travel from your hotel to this natural playground tucked into the Jamaican jungle, where you can swim in the bright blue waters, leap from a rope swing, and relax beneath waterfalls. Along the way, get a new perspective on the history and local culture of Ocho Rios.",rope swing,,
38LRF35D5L6EIO2PISN1M6SKE043UL,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3GLB5JMZFY5WHI1LHE9XKK9S1Z9DGX,A1BYS45FAD0HWD,Submitted,Thu Mar 11 05:04:43 PST 2021,Thu Mar 11 05:05:05 PST 2021,Sun Mar 14 06:05:05 PDT 2021,,,,22,0% (0/0),0% (0/0),0% (0/0),,"Jet extreme offers one of the finest way to experience this unique island freely jet ski / flyboard / hoverboard . The team offers its professionalism and perfect knowledge of the site to make you live unforgettable moments in an atmosphere and decor dreams. Latest equipment, optimum safety, personalized service, everything is made to offer you a tailor made holiday, tailored to your expectations.","Jet Skiing, riding",,
38LRF35D5L6EIO2PISN1M6SKE043UL,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3SBEHTYCWODDBK273YWEIHW9Y06YIH,A24JKHC4HTY6CD,Submitted,Thu Mar 11 05:00:36 PST 2021,Thu Mar 11 05:02:00 PST 2021,Sun Mar 14 06:02:00 PDT 2021,,,,84,0% (0/0),0% (0/0),0% (0/0),,"Jet extreme offers one of the finest way to experience this unique island freely jet ski / flyboard / hoverboard . The team offers its professionalism and perfect knowledge of the site to make you live unforgettable moments in an atmosphere and decor dreams. Latest equipment, optimum safety, personalized service, everything is made to offer you a tailor made holiday, tailored to your expectations.","/RIDING, swimming",,
38LRF35D5L6EIO2PISN1M6SKE043UL,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,31N2WW6R9S0SLQ3TD5X3PQN497KF32,ABBHVKPQIC5PV,Submitted,Thu Mar 11 05:02:30 PST 2021,Thu Mar 11 05:03:11 PST 2021,Sun Mar 14 06:03:11 PDT 2021,,,,41,0% (0/0),0% (0/0),0% (0/0),,"Jet extreme offers one of the finest way to experience this unique island freely jet ski / flyboard / hoverboard . The team offers its professionalism and perfect knowledge of the site to make you live unforgettable moments in an atmosphere and decor dreams. Latest equipment, optimum safety, personalized service, everything is made to offer you a tailor made holiday, tailored to your expectations.","/ swimming, riding, snorkeling",,
3SD15I2WD24TGDCOMAPY60E4BEM63M,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,38BQUHLA9XANDPOWIQL88J5O1ZSMOB,A24JKHC4HTY6CD,Submitted,Thu Mar 11 05:00:50 PST 2021,Thu Mar 11 05:02:26 PST 2021,Sun Mar 14 06:02:26 PDT 2021,,,,96,0% (0/0),0% (0/0),0% (0/0),,"For anyone looking to party in Punta Cana—for Spring break, birthday celebrations, and bachelor parties—this 3-hour snorkel cruise may fit the bill. Drink rum or beer from the floating bar accompanied by nachos and fresh fruit to keep hydrated. Snorkeling gear is provided so you can make use of swimming around Playa Bibijagua.",/SNORKELING,,
3SD15I2WD24TGDCOMAPY60E4BEM63M,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,36ZN444YTS81H6Y5XBNGGQY7KQ7IOQ,A2BNQ8VAMP3ZYO,Submitted,Thu Mar 11 04:54:53 PST 2021,Thu Mar 11 04:58:04 PST 2021,Sun Mar 14 05:58:04 PDT 2021,,,,191,0% (0/0),0% (0/0),0% (0/0),,"For anyone looking to party in Punta Cana—for Spring break, birthday celebrations, and bachelor parties—this 3-hour snorkel cruise may fit the bill. Drink rum or beer from the floating bar accompanied by nachos and fresh fruit to keep hydrated. Snorkeling gear is provided so you can make use of swimming around Playa Bibijagua.",/SNORKELING,,
3SD15I2WD24TGDCOMAPY60E4BEM63M,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,3L6L49WXW17L1PT877PDDJOXYD254U,A3DTLM6EVD4EVV,Submitted,Thu Mar 11 05:02:33 PST 2021,Thu Mar 11 05:03:51 PST 2021,Sun Mar 14 06:03:51 PDT 2021,,,,78,0% (0/0),0% (0/0),0% (0/0),,"For anyone looking to party in Punta Cana—for Spring break, birthday celebrations, and bachelor parties—this 3-hour snorkel cruise may fit the bill. Drink rum or beer from the floating bar accompanied by nachos and fresh fruit to keep hydrated. Snorkeling gear is provided so you can make use of swimming around Playa Bibijagua.","/Snorkeling, Swimming",,
3ZCC2DXSD7EWF0JIHEDGFLUAJP9YYJ,3EOS91U1VZLKRJZQ1E4CSQP1ZZYYBJ,Pick activity name from text,Pick activity name from text,,$0.05,Thu Mar 11 04:54:32 PST 2021,3,BatchId:4363370;OriginalHitTemplateId:928390909;,300,259200,Thu Mar 18 05:54:32 PDT 2021,,,31Z0PCVWULPK5EMHA15IJBEL5IDT7S,A24JKHC4HTY6CD,Submitted,Thu Mar 11 04:56:16 PST 2021,Thu Mar 11 04:56:32 PST 2021,Sun Mar 14 05:56:32 PDT 2021,,,,16,0% (0/0),0% (0/0),0% (0/0),,"Experience the natural beauty of Jamaica on a full-day tour from Ocho Rios. Cool off at the waterfall pools of the Blue Hole, go horseback riding in the countryside, and view the Caribbean Sea and rain forest. Visit a Jamaican jerk eatery for a taste of traditional dishes, and go shopping on a tour led by a guide who shares live commentary about the region.",/SHOPPING,,
