id,text,location,type
https://www.airbnb.com/experiences/316210,"I hope that you and your loved ones are all in good health and that you have all the support you need around you. 

Originally from China, I have lived in the UK, Australia, Hong Kong and Paris, my home for the past 5.5 years. The daily lives of our families and friends all around the world have been disrupted for months now. My heart and thoughts go out to those who have also been affected by the Covid-19 during these challenging times.

The Survival French Lessons for Foodies experience will be running again in the near future, when our life is sort of “back to normal”.

If you’d like to find out more about my experiences, or if you need any advice for your upcoming trip to Paris, do drop me a line at sweetsecretsofparis@gmail.com or @sweetsecretsofparis on Instagram.

****

Travelling in France, any effort to speak French will be greatly appreciated - even if you don't have the perfect pronunciation or the correct conjugation. A simple ""bonjour"" or ""merci"" immediately brings you closer to the locals you are speaking to.

We will cover the basic greetings and useful expressions in French. We will also practice with native French speakers inside coffee shops and bakeries.

45 mins - informal language & culture sharing
45 mins - guided visit to the neighbourhood & practice!

You will feel more comfortable and confident with the language. 

Private groups available.
Other things to note
This is a shared experience - it will always be a small group where you will feel comfortable with other travellers/foodies. If you wish to have a private 1:1 class customised to your level, please book a private group. Advanced classes or 5-session packages, different rates apply. PM for info.","Paris, France",Art and culture
https://www.airbnb.com/experiences/596631,"PLEASE NOTE: I'll reserve for you the skip-the-line tickets that you'll pay there. 
Or, if you prefer, you can buy the tickets for the Uffizi Gallery on the official website of the Museum (webshop b-ticket).
Contact me if you do not see any available dates: I may arrange extra spots.

Together we’ll visit one of the most important museums in the world: the Uffizi Gallery!
Don't worry if you're not an expert of art, I'll explain you the history of painting from Giotto, in the Middle Age, to Caravaggio, at the end of XVI century. 
I'll show you the evolution of painting through the great masterpieces and when you'll come back home you can say: I'm an art-expert!!
After the tour, you can keep exploring the museum by yourself.

Take a look at my new experience
THE DAVID --> https://www.airbnb.com/experiences/1512082
SANTA CROCE --> https://www.airbnb.com/experiences/996085","Florence, Italy",Art and culture
https://www.airbnb.com/experiences/403609,"Join me on an exciting bike tour through my hometown, the Eternal City of Rome. We will start with a light breakfast to give us some energy for the day at one of my favorite local cafes, where we will taste a great Italian coffee with a cornetto (a local version of the French croissant). Next, we will get on our bicycles and peddle around town, visiting some beautiful must-see landmarks such as the Colosseum and the Roman Forum. We’ll also spend some time exploring my favorite local hangouts, hidden piazzas, and parks that you won’t find in your guidebooks. Along the way  we will stop at a local ""forno"" to taste some pizza with freshly sliced - a delicious reward for all of our exercise! Of course, no experience in Rome is complete without tasting a delicious gelato, freshly made at one of the best gelaterias in town.","Rome, Italy",Transportation activities
https://www.airbnb.com/experiences/455819,"PRIVATE-STYLE EXPERIENCE: 1 - 5 PEOPLE PER GROUP ONLY

Hello! My name Is Sunsanee. I am local Thai girl and this is a page about my family business that I'm making with soul and an open heart.

We have 80+ 5-STARS reviews on Airbnb and travelers usually say that this experience is amazing and probably the best start of the day. I am really happy about that!

Morning ceremony with a personal guide in one of the most beautiful temples in Thailand – Wat Chalong.

We will meet at sunrise at 7 AM to explore the temple in a majestic morning atmosphere. It’s only you and a few local people who come to pray at sunrise time.

At first, we'll pray with the monk and participate in the morning ritual – the most important ritual in the Temple’s day.

After the ritual, we'll bring food to the monk (I'll give it to you).

Food offering is one of the most important in Thailand – in Thai villages you still can see how people especially wake up early to offer food to the monk. Because that ritual brings good luck to your day.

Also, we'll make a prediction by Siamsi fortune-telling. Siamsi sticks – is a traditional Buddhist way to predict the future.

For many centuries Thai locals use this ritual to get answers about the future - there are more than 28 different predictions.
I'll translate your prediction for you from Thai language.

After this, I'll.. (continue reading at section ""Your Host""):
Other things to note
Please, don't be late - we should start at 7.00 - 7.15

If your group is 3 people and more - just book an experience and I will make a private group for you for free.","Phuket, Thailand",Art and culture
https://www.airbnb.com/experiences/593641,"Reviewed as one-in-a-lifetime experience by more than 1,000 guests, this is already a must-do in Barcelona according to BuzzFeed, the New York Times, the Washington Post, and others.  During this Onsite Espadrilles Experience you will stitch your own traditional Catalan espadrilles, which you will keep afterwards as the most amazing souvenir. 

We will meet at one of our workshops, where you can see the finished products and the materials. The artisans will be with you at all time leading and providing the materials and tools. 

First, we will introduce you to the story of espadrilles and the materials needed for their construction. You will learn about this beautiful tradition, and how this shoe design passed from being built for humble people, to be one of the most trendy in fashion nowadays.

Then every guest will choose the size of the base, the color of the laces and the preferred style. Once ready, we will stitch our own traditional espadrilles, and then learn the different ways to lace them up. There will be more than 90K different combinations! 

It will be fun, not difficult and you will have constructed your own pair of traditional ""espardenyes""by the end of it.

Finally, each guest will leave with its own creation and with a really cool story to tell to friends, something that it is hardly available to the visitors, not even locals. A wearable memory of Barcelona.","Barcelona, Spain",Art and culture
https://www.airbnb.com/experiences/2171039,"You can check out our work at instagram: @travelandabroad 

⭐Make great pictures while learning Australian culture!   

If you are a solo traveler, a couple, a family or friends traveling together this photo tour will to catch your best holiday moments and provide you with a unique souvenir of Melbourne.

 Prepare to relax and have fun! We will meet in the heart of the city Old town and wonder across its local streets and hidden spots. As we live here for several years we will tell you all the knowledge we have about each spot. We do all the tours privately.

Our biggest passion and what we love to do most is to be behind the camera 24/7 and to capture the best moments of your trip while meeting people from all over the world. 

⭐With more than 400 reviews on different platforms and several nominations for the best AIRBNB hosting photography experiences. We are super happy to start in Melbourne! 

 If it's your first time, don't worry we will give you tips on how to pose. After the Photosession you will go home with beautiful professional edited pictures of your favourite new city + you will have a new friend here ! 

If you prefer a different time frame, no worries! Just sent us a message and we will adjust to a different time. 

You can check out our work at instagram: @travelandabroad","Melbourne, Australia",Art and culture
https://www.airbnb.com/experiences/629333,"We will start our day by visiting Sabarmati Gandhi Ashram in Ahmedabad at 10.30AM in morning
Sabarmati Ashram- Spiritual site in Gandhi's former home - (Site of Hindu spirituality with museum about life and work of former Indian leader, Mahatma Gandhi.)

Then we will visit Ancient stepwell with detailed carvings ( we will reach there by local cab at your expense)
The Adalaj Stepwell -(Ancient architectural site featuring a stepwell dating to late 1400s with intricate wall carvings.)

We will have a lunch in any of authentic restaurants around post Adalaj stepwell visit.
I will accompany you to take your choice of food out of available authentic gujarati, north indian, south indian or mexican cusines at your expenses .

Post lunch we will head to Gandhinagar to visit most famous temple of Gujarat which is 
 BAPS Akshardham Temple | Gandhinagar -Monumental 10-story Hindu temple
(we will reach there by local cab at your expense)
Post visit to Akshardham temple I will guide you to be back at your stay place with a good bye note.
Optionally we can use my car to visit all mentioned places at additional charge of Rs.1000 for this experience.
Other things to note
Welcome to Incredible India !!
Have a great time here being our prestigious guests.","Ahmedabad, India",Art and culture
https://www.airbnb.com/experiences/458717,"hi - More than half of milk production in Japan is producesd in Hokkaido. There are also many good cheeses that are difficult to obtain only in Hokkaido.
In this experience, you can fully enjoy the cheese including the best cheese and wine from Hokkaido, beer, cooking with sake!
I will take you to cafes/restaurants in Sapporo, where I have produced cheese menu.

Once we get to a venue, I will explain the natural cheese we eat today, including Hokkaido and dairy products, the history of dairy farming, culture, manufacturing methods, cutting method, delicious way of eating, etc.
Then you will taste natural cheese.
You will be able to try rare cheese made in small cheese factories (Fermier) in Hokkaido.

During the experience, I will ask you to cut the cheese. Also enjoy snacks with delicious natural cheese. You will probably be fascinated by the attractiveness of Hokkaido cheese.

I really want you to enjoy Hokkaido-specific food!
Other things to note
If you have allegies or food restrictions, please feel let me know in advance.
We can also mee at the venue directly. If you want, pleaase let me know. The meeting location may change.","Sapporo, Japan",Food and drink
https://www.airbnb.com/experiences/1439236,"We will enjoy the wonderful face of Delhi's nightlife which only rise after the sun sets. Uncover and visit the Bars, Clubs and taste the local draft beer's at Delhi's most happening places. Experience amazing and finger licking local food and appetizers followed by the main course at the end of the tour. We will visit to different places by Uber/Auto. I will also ensure the safety of my guests.
Other things to note
Please contact me for any help or information. I also have some other Best tour experiences on Airbnb please check.
https://www.airbnb.co.in/users/show/207487284","Delhi, India",Entertainment
https://www.airbnb.com/experiences/1224337,"We will talk about culture, history, street food experience, talk about how young people in Vietnam show their style. We will try some street food, drink some Vietnamese's coffee,  walk around to see the city. go to Da Lat Market by the way of Vietnamese.
Maybe you think that is simple but you will changes your mind when you meet me ^^
Other things to note
Maybe you can think is simple experience until you meet me. Let’s enjoy together!","Da Lat, Vietnam",Food and drink
